person_id;origin;destination;mode
10241_1;work;home;
10241_2;home;work;
10241_2;work;home;
10242_1;home;secondary;
10242_1;secondary;home;
10242_2;home;secondary;
10242_2;secondary;home;
10243_1;home;work;
10243_1;work;home;
10244_1;home;work;
10244_1;work;home;
10244_2;home;secondary;
10244_2;secondary;home;
10245_1;home;secondary;
10245_1;secondary;home;
10245_2;home;work;
10245_2;work;home;
10246_1;home;work;
10246_1;work;home;
10246_2;home;secondary;
10246_2;secondary;home;
10247_1;home;work;
10247_1;work;home;
10247_2;home;work;
10247_2;work;home;
10247_3;home;secondary;
10247_3;secondary;home;
10247_4;home;work;
10247_4;work;home;
10248_1;home;work;
10248_1;work;home;
10248_2;home;secondary;
10248_2;secondary;home;
10249_1;home;work;
10249_1;work;home;
10249_2;home;work;
10249_2;work;home;
10249_3;home;work;
10249_3;work;home;
10249_4;home;work;
10249_4;work;home;
1024_1;home;secondary;
1024_1;secondary;home;
1024_2;home;work;
1024_2;work;home;
10250_1;home;work;
10250_1;work;home;
10250_2;home;work;
10250_2;work;home;
10251_1;home;work;
10251_1;work;home;
10251_2;home;work;
10251_2;work;home;
10252_1;home;work;
10252_1;work;home;
10252_2;home;work;
10252_2;work;home;
10253_1;home;work;
10253_1;work;home;
10253_2;home;work;
10253_2;work;home;
10254_1;home;secondary;
10254_1;secondary;home;
10254_2;home;work;
10254_2;work;home;
10255_1;home;work;
10255_1;work;home;
10256_1;home;work;
10256_1;work;home;
10256_2;home;work;
10256_2;work;home;
10256_3;home;work;
10256_3;work;home;
10257_1;home;work;
10257_1;work;home;
10257_2;home;secondary;
10257_2;secondary;home;
10258_1;home;secondary;
10258_1;secondary;home;
10258_2;home;work;
10258_2;work;home;
10258_3;home;work;
10258_3;work;home;
10258_4;home;work;
10258_4;work;home;
10259_1;home;secondary;
10259_1;secondary;home;
10259_2;home;secondary;
10259_2;secondary;home;
1025_1;home;secondary;
1025_1;secondary;home;
1025_2;home;work;
1025_2;work;home;
1025_3;home;secondary;
1025_3;secondary;home;
10260_1;home;work;
10260_1;work;home;
10261_1;home;secondary;
10261_1;secondary;home;
10262_1;home;work;
10262_1;work;home;
10262_2;home;work;
10262_2;work;home;
10263_1;home;work;
10263_1;work;home;
10263_2;home;work;
10263_2;work;home;
10264_1;home;work;
10264_1;work;home;
10265_1;home;work;
10265_1;work;home;
10266_1;home;work;
10266_1;work;home;
10267_1;home;work;
10267_1;work;home;
10267_2;home;secondary;
10267_2;secondary;home;
10268_1;home;work;
10268_1;work;home;
10268_2;home;work;
10268_2;work;home;
10269_1;home;work;
10269_1;work;home;
1026_1;home;secondary;
1026_1;secondary;home;
