iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
484;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;;;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
485;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;;;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;14:27:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
486;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;;;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
487;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;;;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
488;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;;;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;14:27:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
489;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;;;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
490;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;;;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
491;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;;;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;14:27:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
492;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;;;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
493;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;;;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
494;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;;;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;14:27:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
495;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;;;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
